"Morron", 2998.78, 582
"Zuccini", 93.08, 648
"Coliflor", 36.81, 545
"Morron", 2951.61, 618
"Pepino", 29.04, 585
"Champignon", 3611.48, 115
"Palta", 1153.58, 408
"Higo", 2460.14, 111
"Papa", 19.90, 980
"Naranja", 24.20, 960
"Apio", 68.15, 261
"Rabanito", 236.37, 270
"Tomate", 728.26, 765
"Lima", 1035.74, 174
"Mandarina", 18.61, 910
"Choclo", 56.04, 240
"Caqui", 883.58, 117
"Manzana", 157.96, 810
"Cereza", 1041.77, 168
"Kiwi", 404.62, 476
"Morron", 2991.67, 660
"Durazno", 141.16, 888
"Frambuesa", 2087.32, 97
"Frutilla", 285.43, 321
"Durazno", 146.23, 904
"Durazno", 251.04, 872
"Kinoto", 35.33, 182
"Choclo", 51.20, 342
"Zuccini", 77.23, 690
"Banana", 55.86, 1080
"Morron", 3031.74, 576
"Mandarina", 27.43, 1070
"Zanahoria", 41.04, 498
"Palta", 494.22, 500
"Esparrago", 634.92, 170
"Lima", 1446.91, 204
"Berenjena", 52.39, 660
"Pepino", 47.76, 585
"Mandarina", 12.91, 1030
"Mandarina", 23.84, 830
"TomCherry", 506.34, 198
"Batata", 20.91, 820
"Sandia", 65.04, 783
"Zuccini", 86.26, 606
"Batata", 19.47, 1150
"Cereza", 1051.95, 208
"Morron", 3027.69, 492
"Alcachofa", 142.03, 270
"Lima", 1420.26, 236
"Banana", 63.57, 880
"Esparrago", 641.73, 210
"Alcachofa", 120.76, 321
"Brocoli", 364.15, 380
"Acelga", 20.88, 855
"Cereza", 961.36, 168
"Palta", 468.41, 460
"Kinoto", 36.14, 236
"Naranja", 16.01, 1070
"Esparrago", 618.73, 182
"Ajo", 889.61, 84
"Palta", 1112.17, 384
"Frambuesa", 2047.30, 89
"Durazno", 261.00, 832
"Ciruela", 956.66, 738
"Mandarina", 16.42, 910
"Zanahoria", 32.87, 636
"TomCherry", 525.75, 182
"Acelga", 15.56, 828
"Esparrago", 597.99, 190
"Batata", 18.37, 1120
"Higo", 2484.08, 104
"Kiwi", 431.25, 376
"Cereza", 1016.65, 226
"Limon", 324.88, 700
"Frambuesa", 2122.43, 91
"Tomate", 719.40, 1062
"Kiwi", 418.47, 356
"Palta", 471.09, 440
"Coliflor", 29.80, 540
"Papa", 22.15, 1060
"Coliflor", 30.51, 550
"Zanahoria", 34.63, 708
"Esparrago", 561.85, 202
"Alcachofa", 166.99, 276
"Zuccini", 88.23, 540
"Uva", 695.92, 288
"Mandarina", 15.35, 1120
"Kiwi", 438.30, 464
"Calabaza", 21.22, 800
"Coliflor", 39.29, 440
"Frutilla", 319.48, 348
"Calabaza", 23.18, 688
"Zuccini", 82.68, 582
"TomCherry", 533.70, 164
"Zuccini", 89.08, 702
"Banana", 60.29, 1080
"Uva", 697.13, 267
"Durazno", 271.37, 920
"Rabanito", 216.64, 282
"Rabanito", 221.70, 336
"Repollo", 7.43, 581
"Brocoli", 343.17, 464
"Durazno", 187.26, 784
"Repollo", 1.40, 770
"Tomate", 730.67, 720
"Coliflor", 27.52, 575
"Morron", 2961.43, 636
"Ajo", 912.25, 92
"Cereza", 997.63, 160
"Caqui", 852.83, 101
"Durazno", 173.55, 840
"Zanahoria", 27.34, 720
"Durazno", 148.30, 888
"Lima", 1339.17, 170
"TomCherry", 561.74, 170
"Lima", 1258.26, 190
"Zanahoria", 26.04, 696
"Acelga", 21.80, 801
"Mandarina", 18.37, 1110
"Ajo", 889.37, 116
"Limon", 307.28, 595
"Coliflor", 21.04, 485
"Uva", 702.73, 264
"Kiwi", 430.22, 420
"Naranja", 12.55, 1060
"Pera", 141.01, 980
"Kinoto", 22.82, 170
"Pepino", 53.14, 565
"Manzana", 134.49, 1130
"Higo", 2452.56, 116
"Alcachofa", 141.91, 261
"Morron", 3027.12, 480
"Apio", 51.35, 306
"Acelga", 25.55, 792
"Mandarina", 18.33, 850
"Calabaza", 16.37, 800
"Batata", 26.86, 830
"Papa", 14.82, 1030
"Repollo", 2.91, 637
"Morron", 2974.72, 684
"Calabaza", 20.16, 928
"Brocoli", 361.21, 392
"Lima", 1227.32, 214
"Banana", 64.70, 1080
"Apio", 68.29, 276
"Frutilla", 272.61, 303
"Mandarina", 20.17, 980
"Ciruela", 930.61, 1008
"Tomate", 692.72, 909
"Ciruela", 964.14, 738
"Mandarina", 16.34, 860
"Ajo", 863.43, 106
"Palta", 486.31, 455
"Kinoto", 35.85, 218
"Lechuga", 36.35, 954
"Manzana", 126.05, 1070
"Acelga", 27.94, 981
"Limon", 339.57, 567
"Morron", 2832.47, 660
"Higo", 2550.27, 111
"Rabanito", 211.95, 345
"Rabanito", 226.74, 336
"Repollo", 8.72, 637
"Zanahoria", 38.79, 564
"Morron", 2952.83, 702
"Pera", 138.60, 1040
"Melon", 114.48, 444
"Kiwi", 397.88, 452
"TomCherry", 562.35, 168
"Cebolla", 73.47, 776
"Limon", 324.48, 700
"Ciruela", 961.82, 1062
"Durazno", 157.52, 672
"Mandarina", 23.96, 990
"Manzana", 156.90, 810
"Papa", 25.95, 940
"Frambuesa", 2035.41, 91
"Frambuesa", 2031.84, 116
"Alcachofa", 161.38, 330
"Pepino", 27.88, 535
"Melon", 94.33, 480
"Berenjena", 37.96, 708
"Alcachofa", 150.31, 309
"Sandia", 59.35, 1017
"Champignon", 3626.64, 119
"Higo", 2541.78, 99
"Palta", 467.28, 415
"Morron", 2944.19, 570
"Calabaza", 17.30, 808
"Durazno", 284.64, 688
"Esparrago", 617.96, 180
"Acelga", 21.48, 963
"Lechuga", 36.51, 1053
"Frutilla", 292.02, 324
"Choclo", 43.56, 318
"Apio", 63.03, 279
"Cebolla", 59.59, 912
"Frutilla", 301.24, 279
"Sandia", 62.85, 1080
"Durazno", 148.30, 840
"Lima", 971.04, 228
"Zuccini", 77.68, 714
"Sandia", 50.09, 972
"Tomate", 738.42, 918
"Naranja", 14.33, 950
"Melon", 112.24, 416
"Ajo", 899.05, 118
"Durazno", 154.77, 760
"Kiwi", 401.21, 376
"Pepino", 25.65, 405
"Lima", 990.57, 220
"Kinoto", 48.41, 196
"Limon", 300.28, 770
"Ajo", 921.46, 113
"Zanahoria", 23.79, 552
"Pepino", 46.04, 595
"Alcachofa", 149.89, 261
"Limon", 294.63, 770
"Lechuga", 39.13, 873
"Uva", 712.04, 243
"Banana", 72.37, 930
"Berenjena", 47.40, 492
"Champignon", 3598.89, 97
"Mandarina", 17.92, 1130
"Calabaza", 19.70, 744
"Cebolla", 64.30, 648
"Repollo", 6.42, 616
"Durazno", 249.77, 656
"Frambuesa", 2092.72, 83
"Melon", 103.21, 404
"Manzana", 122.58, 870
"Lima", 1037.24, 236
